,BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE,ZIP_CODES,LOG_PRICE,LOG_SQFT,PRICE_CAT,GEO_POINTS,BOROUGH,COMMUNITY_DISTRICT,NEIGHBORHOOD
0,Brokered by Douglas Elliman  -111 Fifth Ave,Condo,315000,2,2.0,1400.0,2 E 55th St Unit 803,"New York, NY 10022","2 E 55th St Unit 803New York, NY 10022",New York County,New York,Manhattan,East 55th Street,Regis Residence,"Regis Residence, 2 E 55th St #803, New York, NY 10022, USA",40.761255,-73.9744834,10022,5.498310553789601,3.146128035678238,3,POINT (-73.9744834 40.761255),Manhattan,105,Gramercy Park and Murray Hill
1,Brokered by Serhant,Condo,195000000,7,10.0,17545.0,Central Park Tower Penthouse-217 W 57th New York St Unit Penthouse,"New York, NY 10019","Central Park Tower Penthouse-217 W 57th New York St Unit PenthouseNew York, NY 10019",United States,New York,New York County,New York,West 57th Street,"217 W 57th St, New York, NY 10019, USA",40.7663935,-73.9809909,10019,8.290034611362518,4.244153372551425,5,POINT (-73.98099089999999 40.7663935),Manhattan,105,Chelsea and Clinton
2,Brokered by Sowae Corp,House,260000,4,2.0,2015.0,620 Sinclair Ave,"Staten Island, NY 10312","620 Sinclair AveStaten Island, NY 10312",United States,New York,Richmond County,Staten Island,Sinclair Avenue,"620 Sinclair Ave, Staten Island, NY 10312, USA",40.5418051,-74.1961086,10312,5.414973347970818,3.3042750504771283,3,POINT (-74.1961086 40.5418051),Staten Island,503,South Shore
3,Brokered by COMPASS,Condo,69000,3,1.0,445.0,2 E 55th St Unit 908W33,"Manhattan, NY 10022","2 E 55th St Unit 908W33Manhattan, NY 10022",United States,New York,New York County,New York,East 55th Street,"2 E 55th St, New York, NY 10022, USA",40.7613979,-73.9746128,10022,4.838849090737256,2.6483600109809315,2,POINT (-73.9746128 40.7613979),Manhattan,105,Gramercy Park and Murray Hill
4,Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse,55000000,7,2.0,14175.0,5 E 64th St,"New York, NY 10065","5 E 64th StNew York, NY 10065",United States,New York,New York County,New York,East 64th Street,"5 E 64th St, New York, NY 10065, USA",40.7672235,-73.9698561,10065,7.740362689494244,4.151523067564944,5,POINT (-73.9698561 40.7672235),Manhattan,108,Upper East Side
5,Brokered by Sowae Corp,House,690000,5,2.0,4004.0,584 Park Pl,"Brooklyn, NY 11238","584 Park PlBrooklyn, NY 11238",United States,New York,Kings County,Brooklyn,Park Place,"584 Park Pl, Brooklyn, NY 11238, USA",40.6743632,-73.9587248,11238,5.838849090737256,3.602494068807281,3,POINT (-73.9587248 40.6743632),Brooklyn,308,Central Brooklyn
7,Brokered by Connie Profaci Realty,House,16800000,8,8.0,33000.0,177 Benedict Rd,"Staten Island, NY 10304","177 Benedict RdStaten Island, NY 10304",United States,New York,Richmond County,Staten Island,Benedict Road,"177 Benedict Rd, Staten Island, NY 10304, USA",40.5950017,-74.1064235,10304,7.225309281725863,4.518513939877887,5,POINT (-74.10642350000001 40.5950017),Staten Island,502,Stapleton and St. George
8,Brokered by Pantiga Group Inc.,Co-op,265000,1,1.0,750.0,875 Morrison Ave Apt 3M,"Bronx, NY 10473","875 Morrison Ave Apt 3MBronx, NY 10473",Bronx County,The Bronx,East Bronx,Morrison Avenue,Parking lot,"Parking lot, 875 Morrison Ave #3m, Bronx, NY 10473, USA",40.8215857,-73.8740892,10473,5.423245873936808,2.8750612633917,3,POINT (-73.8740892 40.8215857),Bronx,209,Southeast Bronx
9,Brokered by CENTURY 21 MK Realty,Co-op,440000,2,1.0,978.0,1350 Ocean Pkwy Apt 5G,"Brooklyn, NY 11230","1350 Ocean Pkwy Apt 5GBrooklyn, NY 11230",New York,Kings County,Brooklyn,Midwood,1350,"1350 Ocean Pkwy #5g, Brooklyn, NY 11230, USA",40.6157378,-73.9696944,11230,5.643452676486188,2.9903388547876015,3,POINT (-73.96969439999999 40.6157378),Brooklyn,312,Borough Park
10,Brokered by Engel & Volkers Americas,Co-op,375000,2,1.0,850.0,800 Grand Concourse Apt 2JS,"Bronx, NY 10451","800 Grand Concourse Apt 2JSBronx, NY 10451",New York,Bronx County,The Bronx,Concourse Village,800,"800 Grand Concourse #2j, Bronx, NY 10451, USA",40.8248699,-73.9229829,10451,5.574031267727719,2.929418925714293,3,POINT (-73.92298289999999 40.8248699),Bronx,204,High Bridge and Morrisania
11,Brokered by Re/Max Edge,Townhouse,689000,3,2.0,1162.0,456 Van Name Ave,"Staten Island, NY 10303","456 Van Name AveStaten Island, NY 10303",United States,New York,Richmond County,Staten Island,Van Name Avenue,"456 Van Name Ave, Staten Island, NY 10303, USA",40.6249962,-74.1553058,10303,5.838219221907626,3.065206128054312,3,POINT (-74.15530579999999 40.6249962),Staten Island,501,Port Richmond
15,Brokered by Awaye Realty,Condo,549000,2,2.0,1000.0,4654 Amboy Rd Unit 2B,"Staten Island, NY 10312","4654 Amboy Rd Unit 2BStaten Island, NY 10312",New York,Richmond County,Staten Island,Annadale,4654,"4654 Amboy Rd #2b, Staten Island, NY 10312, USA",40.5406209,-74.1671632,10312,5.739572344450092,3.0,3,POINT (-74.1671632 40.5406209),Staten Island,503,South Shore
16,Brokered by Realty Executives Today,Townhouse,975000,3,2.0,1734.0,28-31 Hobart St,"Woodside, NY 11377","28-31 Hobart StWoodside, NY 11377",United States,New York,Queens County,Queens,Hobart Street,"28-31 Hobart St, Flushing, NY 11377, USA",40.7607676,-73.9056672,11377,5.989004615698537,3.2390490931401916,3,POINT (-73.9056672 40.7607676),Queens,401,West Queens
17,Brokered by Dorsa Group Realty,Co-op,199000,3,1.0,325.0,9430 Ridge Blvd Apt 6D,"Brooklyn, NY 11209","9430 Ridge Blvd Apt 6DBrooklyn, NY 11209",New York,Kings County,Brooklyn,Fort Hamilton,9430,"9430 Ridge Blvd #6d, Brooklyn, NY 11209, USA",40.6181029,-74.0369047,11209,5.298853076409706,2.5118833609788744,3,POINT (-74.03690469999999 40.6181029),Brooklyn,310,Southwest Brooklyn
